Stage Name Stage Name,Full Name Full Name,Korean Name Korean Name,K. Stage Name K. Stage Name,Date of Birth Date of Birth,Group Group,Country Country,Height Height,Weight Weight,Birthplace Birthplace,Gender Gender,Instagram Instagram
Taeyeon,Kim Taeyeon,김태연,태연,3/9/1989,SNSD,South Korea,160,44,Jeonju,F,taeyeon_ss
Sunny,Lee Sunkyu,이순규,써니,5/15/1989,SNSD,South Korea,158,43,California,F,svnnynight
Tiffany,Hwang Miyoung,황미영,티파니,8/1/1989,SNSD,South Korea,163,50,San Francisco,F,xolovestephi
Hyoyeon,Kim Hyoyeon,김효연,효연,9/22/1989,SNSD,South Korea,158,48,Incheon,F,watasiwahyo
Yuri,Kwon Yuri,권유리,유리,12/5/1989,SNSD,South Korea,167,45,Goyang,F,yulyulk
Sooyoung,Choi Sooyoung,최수영,수영,2/10/1990,SNSD,South Korea,170,48,Gwangju,F,hotsootuff
Yoona,Im Yoona,임윤아,윤아,5/30/1990,SNSD,South Korea,166,47,Seoul,F,yoona__lim
Seohyun,Seo Joohyun,서주현,서현,6/28/1991,SNSD,South Korea,168,48,Seoul,F,seojuhyun_s
Jessica,Jessica Jung,제시카 정,제시카,4/18/1989,,South Korea,0,0,,F,jessica.syj
CL,Lee Chaerin,이채린,씨엘,2/26/1991,2NE1,South Korea,0,0,,F,chaelincl
Bom,Park Bom,박봄,봄,3/24/1984,2NE1,South Korea,0,0,,F,haroobommi
Dara,Park Sandara,박산다라,다라,11/12/1984,2NE1,South Korea,0,0,,F,daraxxi
Minzy,Kong Minji,공민지,민지,1/18/1994,2NE1,South Korea,0,0,,F,
Hyorin,Kim Hyojung,김효정,효린,12/11/1990,SISTAR,South Korea,0,0,,F,xhyolynx
Bora,Yoon Bora,윤보라,보라,12/30/1989,SISTAR,South Korea,0,0,,F,borabora_sugar
Soyou,Kang Jihyun,강지현,소유,2/12/1992,SISTAR,South Korea,0,0,,F,soooo_you
Dasom,Kim Dasom,김다솜,다솜,5/6/1993,SISTAR,South Korea,0,0,,F,som0506
Jihyun,Nam Jihyun,남지현,지현,1/9/1990,4minute,South Korea,167,0,Seoul,F,njh9019
Gayoon,Heo Gayoon,허가윤,가윤,5/18/1990,4minute,South Korea,165,0,Seoul,F,gayoon_heo
Jiyoon,Jeon Jiyoon,전지윤,지윤,10/15/1990,4minute,South Korea,165,0,Seoul,F,jenyerjiyoon
HyunA,Kim Hyuna,김현아,현아,6/6/1992,4minute,South Korea,164,0,Jeolla,F,hyunah_aa
Sohyun,Kwon Sohyun,권소현,소현,8/30/1994,4minute,South Korea,162,0,Seoul,F,kkwonsso_94
Jimin,Shin Jimin,신지민,지민,1/8/1991,,South Korea,160,43,Seoul,F,jiminbaby_18
Choa,Park Choa,박초아,초아,3/6/1990,,South Korea,160,42,Incheon,F,queenchoa_
Yuna,Seo Yuna,서유나,유나,12/30/1992,AoA,South Korea,163,45,Busan,F,yn_s_1230
Yookyung,Seo Yookyung,서유경,유경,3/15/1993,,South Korea,167,48,,F,
Hyejeong,Shin Hyejeong,신혜정,혜정,8/10/1993,AoA,South Korea,170,48,Seoul,F,dongdong810
Mina,Kwon Mina,권민아,민아,9/21/1993,,South Korea,159,43,Busan,F,kvwowv
Seolhyun,Kim Seolhyun,김설현,설현,1/3/1995,AoA,South Korea,167,47,Bucheon,F,sh_9513
Chanmi,Kim Chanmi,김찬미,찬미,6/19/1996,AoA,South Korea,166,47,Gumi,F,chanmi_96a
Sojin,Park Sojin,박소진,소진,5/21/1986,Girl's Day,South Korea,167,47,Daegu,F,ssozi_sojin
