Stage.Name;Group;ig_name;Followers;Gender.x;Full.Name;Korean.Name;K.Stage.Name;Date.of.Birth;Debut;Company;Country;Height;Weight;Gender.y;age;year.career
Ace;VAV;ace.vav;335439;Boy;Jang Wooyoung;장우영;에이스;28.08.1992;31.10.2015;A team;South Korea;177;63;M;30;7
Ahra;FAVORITE;ahra.view;12342;Girl;Go Ahra;고아라;아라;21.02.2001;05.07.2017;Astory;South Korea;NA;NA;F;22;6
Ahyoung;DAL SHABET;a_young91;10479;Girl;Cho Jayoung;조자영;아영;26.05.1991;03.01.2011;Happy Face;South Korea;NA;NA;F;32;12
Alice;HELLO VENUS;hv_alice;11135;Girl;Song Joohee;송주희;앨리스;21.03.1990;09.05.2012;Fantagio;South Korea;166;47;F;33;11
Amber;F(X);ajol_llama;5519743;Girl;Amber Josephine Liu;엠버 조세핀 리우;엠버;18.09.1992;05.09.2009;SM;USA;167;NA;F;30;13
Arang;PINK FANTASY;arang_official_md;17749;Girl;Park Yerim;박예림;아랑;22.01.2001;28.10.2018;My Doll;South Korea;167;49;F;22;4
Ari;TAHITI;tahiti__ari;30965;Girl;Kim Sunyoung;김선영;아리;23.10.1994;23.06.2012;J-line;South Korea;NA;NA;F;28;11
Arin;OH MY GIRL;ye._.vely618;1857972;Girl;Choi Yewon;최예원;아린;18.06.1999;21.04.2015;WM;South Korea;163;47;F;24;8
Aron;NU'EST;nuestaron;718784;Boy;Kwak Youngmin;곽영민;아론;21.05.1993;15.03.2012;Pledis;South Korea;NA;NA;M;30;11
Ashley;LADIES' CODE;ashleybchoi;541344;Girl;Ashley Choi;애슐리 최;애슐리;09.11.1991;07.03.2013;Polaris;South Korea;NA;NA;F;31;10
Ayno;VAV;ayno.vav;442087;Boy;Noh Yoonho;노윤호;에이노;01.05.1996;31.10.2015;A team;South Korea;183;61;M;27;7
B-Bomb;BLOCK B;bbomb2011;313078;Boy;Lee Minhyuk;이민혁;비범;14.12.1990;15.04.2011;KQ;South Korea;178;60;M;32;12
Babysoul;LOVELYZ;babysoullvlz;71558;Girl;Lee Soojung;이수정;베이비소울;06.07.1992;17.11.2014;Woollim;South Korea;158;41;F;31;8
Baekhyun;EXO;baekhyunee_exo;21803656;Boy;Byun Baekhyun;변백현;백현;06.05.1992;08.04.2012;SM;South Korea;174;58;M;31;11
BamBam;GOT7;bambam1a;17525604;Boy;Kunpimook Bhuwakul;꾼삐묵 부와꾼;뱀뱀;02.05.1997;16.01.2014;JYP;Thailand;170;52;M;26;9
Benji;B.I.G;baebenji92;10703;Boy;Baek Jaewook;배제욱;벤지;03.05.1992;09.07.2014;GH;USA;183;72;M;31;9
BM;KARD;bigmatthewww;2703891;Boy;Matthew Kim;매튜김;비엠;20.10.1992;29.03.2007;DSP;South Korea;NA;NA;M;30;16
Bobby;IKON;bobbyindaeyo;3207006;Boy;Kim Jiwon;김지원;바비;21.12.1995;15.09.2015;YG;South Korea;NA;NA;M;27;7
Bomi;APINK;__yoonbomi__;932196;Girl;Yoon Bomi;윤보미;보미;13.08.1993;19.04.2011;Plan A;South Korea;163;NA;F;29;12
Bona;WJSN;bn_95819;1984459;Girl;Kim Jiyeon;김지연;보나;19.08.1995;25.02.2016;Starship;South Korea;163;NA;F;27;7
